[GENERAL]
DATE=August 08, 2025 at 12:20:52
CYME_VERSION=8.00
CYMDIST_REVISION=01
              
[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY

741499.928604914_1827730.2033024,741499.928604914,1827730.2033024
741499.936567364_1827729.40334203,741499.936567364,1827729.40334203
741499.941546405_1827728.90311465,741499.941546405,1827728.90311465
741499.946417419_1827728.40299678,741499.946417419,1827728.40299678
742379.022246866_1829260.23565681,742379.022246866,1829260.23565681
742379.03024982_1829259.43569684,742379.03024982,1829259.43569684
742379.035253114_1829258.93557714,742379.035253114,1829258.93557714
742379.040257655_1829258.43534672,742379.040257655,1829258.43534672
742466.498570198_1829012.54483309,742466.498570198,1829012.54483309
742540.061936597_1829089.68189726,742540.061936597,1829089.68189726
742540.069944643_1829088.88193734,742540.069944643,1829088.88193734
742540.074951125_1829088.38181723,742540.074951125,1829088.38181723
742540.079957605_1829087.88169715,742540.079957605,1829087.88169715
742650.542866401_1827782.1007604,742650.542866401,1827782.1007604
742688.056451431_1827834.39570699,742688.056451431,1827834.39570699
742688.156711768_1827833.90562975,742688.156711768,1827833.90562975
742701.879739723_1827799.28966678,742701.879739723,1827799.28966678
742730.246258049_1827800.60552655,742730.246258049,1827800.60552655
742730.254095574_1827799.80556494,742730.254095574,1827799.80556494
742730.258995451_1827799.30544363,742730.258995451,1827799.30544363
742730.264003355_1827798.80521283,742730.264003355,1827798.80521283
743374.862019913_1827634.86737032,743374.862019913,1827634.86737032
743375.084188032_1827633.73258236,743375.084188032,1827633.73258236
743461.461992611_1826890.12544754,743461.461992611,1826890.12544754
743461.468851684_1826889.42518659,743461.468851684,1826889.42518659
743461.475924328_1826888.72492804,743461.475924328,1826888.72492804
743462.16231024_1826890.13237891,743462.16231024,1826890.13237891
743462.169169335_1826889.43211794,743462.169169335,1826889.43211794
743462.176135216_1826888.73185818,743462.176135216,1826888.73185818
743462.184092876_1826887.93189776,743462.184092876,1826887.93189776
743462.862414297_1826890.13930786,743462.862414297,1826890.13930786
743462.869486988_1826889.43904931,743462.869486988,1826889.43904931
743462.877297467_1826888.66418195,743462.877297467,1826888.66418195
744039.181382021_1827696.9788013,744039.181382021,1827696.9788013
744039.186312013_1827696.4786764,744039.186312013,1827696.4786764
744039.191350045_1827695.97844201,744039.191350045,1827695.97844201
744039.199406711_1827695.17848258,744039.199406711,1827695.17848258
745444.381414479_1827326.37831551,745444.381414479,1827326.37831551
745444.386482717_1827325.87818806,745444.386482717,1827325.87818806
745444.39144417_1827325.37805936,745444.39144417,1827325.37805936
745444.399380062_1827324.57809872,745444.399380062,1827324.57809872
745473.291354857_1826346.59569989,745473.291354857,1826346.59569989
745473.296314971_1826346.09546083,745473.296314971,1826346.09546083
745473.301273822_1826345.59533245,745473.301273822,1826345.59533245
745473.309205557_1826344.79537177,745473.309205557,1826344.79537177
745496.725703156_1827306.49353478,745496.725703156,1827306.49353478
745496.730131831_1827305.99339988,745496.730131831,1827305.99339988
745826.880120013_1827324.36005409,745826.880120013,1827324.36005409
745826.885090359_1827323.85992435,745826.885090359,1827323.85992435
745826.890061969_1827323.35968389,745826.890061969,1827323.35968389
745826.898012329_1827322.5597234,745826.898012329,1827322.5597234
745830.806983339_1827341.0956608,745830.806983339,1827341.0956608
746578.730232841_1829365.18670266,746578.730232841,1829365.18670266
746578.735228798_1829364.68645929,746578.735228798,1829364.68645929
746578.740116705_1829364.18632538,746578.740116705,1829364.18632538
746578.747934889_1829363.38636358,746578.747934889,1829363.38636358
746596.845178376_1829360.92807955,746596.845178376,1829360.92807955
746597.332176152_1829360.81355047,746597.332176152,1829360.81355047
746736.92920274_1831560.36137453,746736.92920274,1831560.36137453
746736.934315248_1831559.86124175,746736.934315248,1831559.86124175
746736.939323538_1831559.36088636,746736.939323538,1831559.36088636
746736.947330709_1831558.56092643,746736.947330709,1831558.56092643
746790.514550759_1827743.11234974,746790.514550759,1827743.11234974
746807.908789001_1828944.5175142,746807.908789001,1828944.5175142
746807.98171522_1827733.09021317,746807.98171522,1827733.09021317
746809.346741157_1827787.70763916,746809.346741157,1827787.70763916
746891.922962645_1828779.31241718,746891.922962645,1828779.31241718
746892.423233063_1828779.31739136,746892.423233063,1828779.31739136
746892.92350348_1828779.32236554,746892.92350348,1828779.32236554
746893.723463938_1828779.33031953,746893.723463938,1828779.33031953
746958.303642138_1827984.06341925,746958.303642138,1827984.06341925
746974.487211829_1830894.95241212,746974.487211829,1830894.95241212
746984.20471925_1830885.65383147,746984.20471925,1830885.65383147
746984.209729766_1830885.15358636,746984.209729766,1830885.15358636
746984.214632237_1830884.6534507,746984.214632237,1830884.6534507
746984.222473686_1830883.85348913,746984.222473686,1830883.85348913
747002.414434989_1828058.1939931,747002.414434989,1828058.1939931
747002.914722539_1828058.19896764,747002.914722539,1828058.19896764
747003.41490331_1828058.20394098,747003.41490331,1828058.20394098
747004.214863767_1828058.21189505,747004.214863767,1828058.21189505
747095.204805052_1826979.92673499,747095.204805052,1826979.92673499
747095.209911805_1826979.42649234,747095.209911805,1826979.42649234
747095.214804979_1826978.92624722,747095.214804979,1826978.92624722
747095.222629847_1826978.12628549,747095.222629847,1826978.12628549
747145.339801323_1828325.22086584,747145.339801323,1828325.22086584
747338.307223314_1831620.64839019,747338.307223314,1831620.64839019
747405.972730923_1831628.73773853,747405.972730923,1831628.73773853
747520.175959618_1828252.24766316,747520.175959618,1828252.24766316
747520.55690059_1828251.9233496,747520.55690059,1828251.9233496
748307.895795283_1832416.91356922,748307.895795283,1832416.91356922
748311.199706317_1832391.17153002,748311.199706317,1832391.17153002
748311.204754148_1832390.67116985,748311.204754148,1832390.67116985
748311.209691367_1832390.17114053,748311.209691367,1832390.17114053
748311.217590069_1832389.37117952,748311.217590069,1832389.37117952
748772.824751742_1833040.88332202,748772.824751742,1833040.88332202
748772.832672076_1833040.08336123,748772.832672076,1833040.08336123
748772.837626121_1833039.58299826,748772.837626121,1833039.58299826
748772.842577594_1833039.08285667,748772.842577594,1833039.08285667
749015.606292516_1832833.28426624,749015.606292516,1832833.28426624
749045.519414429_1832802.224735,749045.519414429,1832802.224735
749669.519341301_1832972.7458796,749669.519341301,1832972.7458796
749669.987555112_1832972.57120371,749669.987555112,1832972.57120371
749670.441879573_1832972.36060569,749670.441879573,1832972.36060569
749893.444819921_1833002.07785559,749893.444819921,1833002.07785559
749893.449800004_1833001.57748945,749893.449800004,1833001.57748945
749893.454776214_1833001.07745539,749893.454776214,1833001.07745539
749893.462737213_1833000.277495,749893.462737213,1833000.277495
749898.399658382_1833099.37208708,749898.399658382,1833099.37208708
749898.407620698_1833098.5721267,749898.407620698,1833098.5721267
749898.412599935_1833098.07187119,749898.412599935,1833098.07187119
749898.417577881_1833097.57172638,749898.417577881,1833097.57172638
749967.25363226_1833023.88180235,749967.25363226,1833023.88180235
749967.615568894_1833023.53650169,749967.615568894,1833023.53650169
750010.261729057_1834721.85684608,750010.261729057,1834721.85684608
750010.269704377_1834721.05688583,750010.269704377,1834721.05688583
