
[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY

754471.925322599_1833017.99840335,754471.925322599,1833017.99840335
754472.618565128_1833018.70570022,754472.618565128,1833018.70570022
754472.961189858_1833014.11258716,754472.961189858,1833014.11258716
754473.318946941_1833018.71279837,754473.318946941,1833018.71279837
754473.325982132_1833018.01237697,754473.325982132,1833018.01237697
754473.332909242_1833017.31206501,754473.332909242,1833017.31206501
754473.524515492_1833013.44124641,754473.524515492,1833013.44124641
754474.019331386_1833018.71967516,754474.019331386,1833018.71967516
754474.026150444_1833018.01947262,754474.026150444,1833018.01947262
754474.033291103_1833017.31916319,754474.033291103,1833017.31916319
754532.400218715_1836369.44137157,754532.400218715,1836369.44137157
754532.408201231_1836368.6414114,754532.408201231,1836368.6414114
754532.41319326_1836368.14113999,754532.41319326,1836368.14113999
754532.41818397_1836367.64097926,754532.41818397,1836367.64097926
754578.352419291_1833157.85679625,754578.352419291,1833157.85679625
754578.852507584_1833157.86174058,754578.852507584,1833157.86174058
754579.352808088_1833157.86679817,754579.352808088,1833157.86679817
754580.152767214_1833157.87488504,754580.152767214,1833157.87488504
754610.304396725_1833209.7208487,754610.304396725,1833209.7208487
754659.112755734_1833194.80332142,754659.112755734,1833194.80332142
754694.646130198_1833372.48057612,754694.646130198,1833372.48057612
754812.516212363_1833491.66408214,754812.516212363,1833491.66408214
754862.072792745_1837344.83053601,754862.072792745,1837344.83053601
754862.080792999_1837344.03057601,754862.080792999,1837344.03057601
754862.085796136_1837343.53030324,754862.085796136,1837343.53030324
754862.090797949_1837343.03014116,754862.090797949,1837343.03014116
754882.368699596_1837312.02840374,754882.368699596,1837312.02840374
754882.64239676_1837311.60994378,754882.64239676,1837311.60994378
754891.450821771_1836400.0352497,754891.450821771,1836400.0352497
754917.144643468_1834038.65562894,754917.144643468,1834038.65562894
754922.936605765_1836412.84614057,754922.936605765,1836412.84614057
754954.705620645_1832560.05915726,754954.705620645,1832560.05915726
754954.713598095_1832559.25919704,754954.713598095,1832559.25919704
754954.718588057_1832558.75881521,754954.718588057,1832558.75881521
754954.723468616_1832558.25865349,754954.723468616,1832558.25865349
754962.566265685_1832961.35564887,754962.566265685,1832961.35564887
754962.571254594_1832960.85548827,754962.571254594,1832960.85548827
754962.576351584_1832960.35521822,754962.576351584,1832960.35521822
754962.584501943_1832959.55525974,754962.584501943,1832959.55525974
754971.477780576_1836061.19809584,754971.477780576,1836061.19809584
754972.478125695_1836061.21854293,754972.478125695,1836061.21854293
754973.974578794_1834045.42139204,754973.974578794,1834045.42139204
754973.979571746_1834044.92123095,754973.979571746,1834044.92123095
754973.984672769_1834044.42096044,754973.984672769,1834044.42096044
754973.992829569_1834043.62100202,754973.992829569,1834043.62100202
755024.842496195_1834454.13208013,755024.842496195,1834454.13208013
755030.405697971_1832351.77484815,755030.405697971,1832351.77484815
755066.104454758_1835297.94446491,755066.104454758,1835297.94446491
755066.168235192_1835297.44832507,755066.168235192,1835297.44832507
755093.166542277_1834938.89275403,755093.166542277,1834938.89275403
755097.475286765_1832442.81709084,755097.475286765,1832442.81709084
755101.90962723_1834873.70121878,755101.90962723,1834873.70121878
755102.16834012_1834872.0874949,755102.16834012,1834872.0874949
755102.462149448_1834872.49245722,755102.462149448,1834872.49245722
755119.932397786_1837600.53583621,755119.932397786,1837600.53583621
755194.836615245_1834435.48220936,755194.836615245,1834435.48220936
755194.84444065_1834434.68224763,755194.84444065,1834434.68224763
755194.849333358_1834434.18208448,755194.849333358,1834434.18208448
755194.85433414_1834433.68181188,755194.85433414,1834433.68181188
755198.129481297_1835179.89907893,755198.129481297,1835179.89907893
755201.416375953_1834907.05068377,755201.416375953,1834907.05068377
755201.421378537_1834906.55041099,755201.421378537,1834906.55041099
755201.426379798_1834906.0502489,755201.426379798,1834906.0502489
755201.434378822_1834905.25028889,755201.434378822,1834905.25028889
755216.897601057_1836086.18594355,755216.897601057,1836086.18594355
755216.902501363_1836085.68566898,755216.902501363,1836085.68566898
755216.907507095_1836085.18550636,755216.907507095,1836085.18550636
755216.915513261_1836084.38554642,755216.915513261,1836084.38554642
755230.747569581_1835164.45526276,755230.747569581,1835164.45526276
755271.418982107_1835485.35379329,755271.418982107,1835485.35379329
755306.574148361_1837776.70094312,755306.574148361,1837776.70094312
755306.579162086_1837776.20077957,755306.579162086,1837776.20077957
755306.584070392_1837775.70050407,755306.584070392,1837775.70050407
755306.591918979_1837774.90054257,755306.591918979,1837774.90054257
755607.593031119_1837422.23644178,755607.593031119,1837422.23644178
755622.754690131_1837449.87947274,755622.754690131,1837449.87947274
755734.344927753_1837375.03647491,755734.344927753,1837375.03647491
755734.349844668_1837374.53619829,755734.349844668,1837374.53619829
755734.354760258_1837374.0360324,755734.354760258,1837374.0360324
755734.362622214_1837373.23607103,755734.362622214,1837373.23607103
755900.424836276_1837818.22084454,755900.424836276,1837818.22084454
755900.429972113_1837817.72056982,755900.429972113,1837817.72056982
755900.434894464_1837817.22029255,755900.434894464,1837817.22029255
755900.44276548_1837816.42033127,755900.44276548,1837816.42033127
755951.872534561_1838028.10518582,755951.872534561,1838028.10518582
755952.315447807_1838028.33790623,755952.315447807,1838028.33790623
755962.831685859_1838344.92748224,755962.831685859,1838344.92748224
755962.839732831_1838344.12752271,755962.839732831,1838344.12752271
755962.844765223_1838343.62724633,755962.844765223,1838343.62724633
755962.849796291_1838343.12708066,755962.849796291,1838343.12708066
757030.12899972_1838089.43589763,757030.12899972,1838089.43589763
757087.144732271_1838088.24494845,757087.144732271,1838088.24494845
757169.146213526_1838806.88386964,757169.146213526,1838806.88386964
757169.151169057_1838806.38358825,757169.151169057,1838806.38358825
757169.156229992_1838805.88341884,757169.156229992,1838805.88341884
757169.161080117_1838805.38302546,757169.161080117,1838805.38302546
757169.168833852_1838804.58306304,757169.168833852,1838804.58306304
757210.599848758_1838785.96862435,757210.599848758,1838785.96862435
757210.604910592_1838785.46845483,757210.604910592,1838785.46845483
757210.609973755_1838784.96817461,757210.609973755,1838784.96817461
757210.614822111_1838784.46800254,757210.614822111,1838784.46800254
757210.622576448_1838783.66804012,757210.622576448,1838783.66804012
757254.224163589_1838770.71753572,757254.224163589,1838770.71753572
757254.229119654_1838770.21736481,757254.229119654,1838770.21736481
757254.234183786_1838769.71708447,757254.234183786,1838769.71708447
757254.239033113_1838769.21691225,757254.239033113,1838769.21691225
757254.246789_1838768.41694985,757254.246789,1838768.41694985
757264.035570296_1838665.33663942,757264.035570296,1838665.33663942
757264.435560406_1838665.03620282,757264.435560406,1838665.03620282
757305.790269084_1838752.75434025,757305.790269084,1838752.75434025
757306.290662292_1838752.75937118,757306.290662292,1838752.75937118
757306.790842031_1838752.76439955,757306.790842031,1838752.76439955
757307.590801608_1838752.77244164,757307.590801608,1838752.77244164
757312.635055529_1838630.60498722,757312.635055529,1838630.60498722
757312.642983524_1838629.8050265,757312.642983524,1838629.8050265
757312.647940459_1838629.30485547,757312.647940459,1838629.30485547
757312.653005465_1838628.804575,757312.653005465,1838628.804575
757376.735638299_1838560.4752418,757376.735638299,1838560.4752418
757377.235928172_1838560.48038319,757377.235928172,1838560.48038319
757377.736219382_1838560.48541392,757377.736219382,1838560.48541392
757378.536178939_1838560.493458,757378.536178939,1838560.493458
757422.056834351_1838494.19438148,757422.056834351,1838494.19438148
757422.061686633_1838493.6942089,757422.061686633,1838493.6942089
757422.066753725_1838493.19392817,757422.066753725,1838493.19392817
757422.074856107_1838492.3939692,757422.074856107,1838492.3939692
757782.849584547_1841863.24293727,757782.849584547,1841863.24293727
757816.625113095_1841836.57354375,757816.625113095,1841836.57354375
757881.452125431_1841761.10250346,757881.452125431,1841761.10250346
757999.881321648_1841368.14814702,757999.881321648,1841368.14814702
757999.886198955_1841367.64786086,757999.886198955,1841367.64786086
757999.891287028_1841367.14779871,757999.891287028,1841367.14779871
757999.899426512_1841366.34784012,757999.899426512,1841366.34784012
758181.551015403_1842276.7637402,758181.551015403,1842276.7637402
